_ACN,Time_Date,Time_Local Time Of Day,Place_State Reference,Aircraft 1_Aircraft Operator,Aircraft 1_Mission,Aircraft 1_Make Model Name,Aircraft 1_Flight Phase,Component_Aircraft Component,Person 1_Function,Person 1_Qualification,Person 1_Human Factors,Events_Anomaly,Events_Detector,Events_When Detected,Events_Result,Assessments_Contributing Factors / Situations,Assessments_Primary Problem,Report 1_Narrative,Report 1_Synopsis
1515772,201802,,US,Air Carrier,Passenger,B737-700,Climb,Cockpit Window,Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,Aircraft Equipment Problem Critical,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Landed As Precaution; Flight Crew Diverted; General Maintenance Action,Aircraft,Aircraft,While climbing through 35;000 ft the Captain's L1 forward window shattered.,A B737 Pilot reported that the L1 forward window shattered in flight.
1516379,201802,1201-1800,US,Air Carrier,Passenger,B737-700,Descent,Turbine Engine,Pilot Not Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,Aircraft Equipment Problem Critical; Inflight Event / Encounter Weather / Turbulence,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Inflight Shutdown; Flight Crew Landed in Emergency Condition; Flight Crew Diverted,Aircraft; Weather,Aircraft,We were enroute when I called the Flight Attendants to advise them of expected turbulence as we descend into [our destination]. I asked them to clean up the cabin early so as to be done and seated prior to the choppy air at the lower altitudes. Just a few seconds later; my First Officer (FO) said that he would like to use the lavatory prior to landing. We also had a Company Captain Observer on the jump seat; and he expressed interest in doing the same. My FO went first and returned promptly then the Observer left. As I recall we were given a descent clearance to FL 350 as the FO initiated the descent; the Observer called to come back to the flight deck. I got up from my seat to check the door viewer and open the door and as I returned to my seat we started to get some vibration or bumps. Within a few seconds the Flight Attendants called to ask about the noise and vibration.As I was explaining to them we were entering some chop; I noticed that the autothrottle had disconnected and the #2 engine was rolling back. I tried to move the thrust lever but had no response. After realizing what we were dealing with I set CONT thrust in the FMC and found the single engine drift down speed. I immediately asked ATC for a lower altitude. I told the FO to continue to fly the aircraft while I got out the Engine Failure/Shutdown Checklist. As I was going to the QRH; I re-assessed the situation and felt that the Engine Fire/Severe Damage Checklist may be more appropriate because of the engine vibration we felt (Nothing abnormal on the AVI.)  As we performed the checklist and shutdown the engine; the vibration stopped. At that point we also had the 'ENG FAIL' annunciation. We never had a fire or overheat light. Our Flight Deck Observer was extremely helpful in helping me with communication to Dispatch; Flight Attendants and the Passengers.I had initially told ATC that most likely we would land at ZZZ (landing alternate for our destination.)  We were given a direct clearance to ZZZ airport. However; after attaining the weather for both ZZZ and zZZ1 I felt that in the interest of Safety that ZZZ1 would be a better option as both were approximately the same distance. My concerns for landing at ZZZ were turbulence; moderate icing on descent and gusty crosswinds on the long runway or a much shorter runway with favorable winds. My concern was I knew we would have additional speed with a flap 15 (ice) landing with a fairly heavy weight landing of about 127;500 pounds. The decision was made to land at ZZZ1 with overcast skies no ice and a smooth ride with light winds straight down a 12;000 ft runway. After all appropriate checklists; briefings and calls were made I assumed control of the aircraft and we landed at ZZZ1 without further incident. CFR (Crash Fire Rescue) met us after landing and I stopped the aircraft on the taxiway after we cleared the runway. I wanted CFR to assess any potential visual damage prior to proceeding to the gate. No apparent damage was noted so we continued to Gate. Upon reaching the gate we advised the Passengers that Customer Service Agents would help accommodate them to their destinations. I then called Dispatch and spoke to all of the appropriate channels to debrief the incident. This included Dispatch; Maintenance and the Chief Pilot on Call. I entered a defect noting the #2 engine failure in the aircraft logbook. I then conducted an outside walk around the aircraft in particular looking at the #2 engine. Both the Contract Mechanic and I did not notice anything unusual or apparently abnormal with the engine.  However; we did have a red EGT exceedance annunciation on the ground. The highest observed EGT was 788 in flight prior to shut down. The aircraft was shut down except for overnight gate services accommodations.,A B737 Captain reported an engine rollback at cruise requiring a diversion and emergency landing.
1516554,201802,1201-1800,FO,Air Carrier,Passenger,A321,Descent,,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Situational Awareness; Physiological - Other,Aircraft Equipment Problem Less Severe; Flight Deck / Cabin / Aircraft Event Illness / Injury; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,Person Flight Crew; Person Flight Attendant,In-flight; Taxi,General Physical Injury / Incapacitation,Aircraft,Aircraft,Descending into ZZZ the flight attendants smelled an odor and after landing a metallic taste and sore throat. I also had a metallic taste in my mouth. Soon thereafter one flight attendant had respiratory problems and seemed to have a temperature. Before we could leave the airport she was vomiting in the bathroom. When we got to the hospital her blood pressure was way off. Three of us were seen and one flight attendant spent the night at the hospital in observation.Engine oil getting into the bleed air system most likely number 2 engine.Would be great to have a meter and warning in the cockpit when toxins enter the bleed system.,A321 pilot reported several crew members detected an odor and a metallic taste during descent.
1517199,201802,,FO,Air Carrier,Passenger,B767 Undifferentiated or Other Model,Final Approach; Descent; Climb,,Relief Pilot; First Officer,Flight Crew Air Transport Pilot (ATP),Troubleshooting; Situational Awareness; Time Pressure; Communication Breakdown,Aircraft Equipment Problem Critical,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition,Manuals; Human Factors; Aircraft; Company Policy,Aircraft,We were tasked to fly Aircraft X back from ZZZZ; this aircraft had extensive previous history on it. After performing a gate return for an engine valve issue and subsequent MEL we had a normal take off. Climbing through 6;000 feet we heard a very loud air noise; which we initially thought was rain/weather. No weather was present so I was tasked to check the cabin in case we had a door come open or something similar but the noise was present mainly in the cockpit. This was later determined to possibly be a blown duct. After the noise occurred we checked the status page and we had a landing gear monitor message. At the same time; the Maintenance person that [the Company] had tasked to ride with us had a specific piece of equipment to monitor the O2 content in the aircraft. As we leveled at 13;000 feet his monitor started making an audible alarm and noticeable flash and when I saw the screen I could see that the O2 content was not normal. We now had three issues occurring at the same time that we felt necessitated an air return which also was going to include an overweight landing in ZZZZ. As the Relief Officer (IRO) I looked up the overweight landing checklist and attempted to run it but there was some confusion among the three of us as to exactly how to run that checklist. It kept referring me to the performance section for the correct chart and for some reason I found that chart exceptionally difficult to understand. That checklist is somewhat confusing I think in the heat of battle. What was great was the ability of the iPad to remember what page I was on in the checklist and also to be able to 'hotlink' me to the correct sections and move back and forth - that feature is fabulous. I had to prompt the crew several times that we needed to run this overweight landing checklist which also contains the approach descent and landing checklists. The captain had his hands full flying the heavy aircraft and getting it properly slowed down and configured. The margins were very narrow on the speed tape. There was also some discussion of trying to 'document' what was happening which I eventually had to express very forcefully that the focus should be on flying the aircraft first. That was a definite threat which in a different scenario could have been very dangerous. With a heavy; slow plane like that; one person should have been totally focused on flying and at times that focus appeared to be wandering slightly. After we were able to get all the checklists ran we made a normal VFR approach and landing the slightly longer runway. ZZZZ had to suspend takeoffs for us I believe for us to land.,A B767 flight crew reported returning to land due to several indications of malfunctions on the aircraft.
1517822,201802,0601-1200,US,Air Carrier,Passenger,A321,Climb,,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),Distraction; Situational Awareness,Aircraft Equipment Problem Less Severe; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Inflight Event / Encounter Unstabilized Approach,Person Flight Crew,In-flight,Flight Crew Became Reoriented; Flight Crew Executed Go Around / Missed Approach; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed,Aircraft; Human Factors,Human Factors,Takeoff approximately 1000 ft AGL FA 1 called to inform me of smoke and smell aft cabin. FO detected oil odor in cockpit. [Advised ATC] and completed checklist. Vectored for return around storms. At approximately 1200 ft AGL on approach [we] went around due to flap overspeed. I realized I did not activate [approach mode] and auto throttle increased power ending in flap overspeed [and] unstable [approach]. Vectored for another approach; landed overweight uneventfully. ARFF met plane on runway; noted no indications of smoke or fire. Due to weight and TO conditions performed TOGA TO APU On. Possible oil ingestion from APU into packs. It was a learning experience. I realized upon the go around I had rushed the whole event. Entering the yellow border in red resource management. My FO did a wonderful job help bring us into the green. My future goal is not to rush to comply but to sit back; assess; and proceed.,A321 flight crew reported returning to departure airport after Flight Attendants reported smoke in the cabin. Crew felt rushed; and an unstabilized approach resulted in a go-around.
1517833,201802,1801-2400,US,Air Carrier,Passenger,A321,Cruise,Fire/Overheat Warning,Captain,Flight Crew Air Transport Pilot (ATP),,Aircraft Equipment Problem Less Severe; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Diverted; General Maintenance Action,Aircraft,Aircraft,ECAM cargo smoke fwd/aft illuminated at FL360. Accomplished non-normal checklist. Diverted to ZZZ. Aircraft Maintenance Logbook entry made.,A321 Captain reported a cargo smoke warning light while in flight.
1518022,201801,1201-1800,US,Air Carrier,Passenger,B737 Undifferentiated or Other Model,Takeoff / Launch,,Flight Attendant (On Duty),Flight Attendant Current,Physiological - Other,Flight Deck / Cabin / Aircraft Event Illness / Injury; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,Person Flight Attendant,In-flight,General Physical Injury / Incapacitation,Aircraft; Environment - Non Weather Related; Human Factors,Aircraft,Deicing; odor and symptoms after takeoff in jump seat. Number 1 & Number 3 flight crew affected with massive headache and sleepiness. Remained seated due to symptoms and turbulence. At 20 min after departure attempted service for 10 min. Suspended service as Number 1 was vomiting in lavatory Number 1 returned and called CA (Captain) regarding Number 1 & Number 3 flight crew incapacitation. FO (First Officer) checked forward cabin area for fumes and odor. FO explained left engine air intake directed to ventilation system in forward area by jump seats. FO said deicing fluid can get into cabin air. I (Number 3) explained my deteriorating condition to FO. FO returned to cockpit. Number 1 returned and I sat in jump seat and struck my left knee on edge of jump seat. Number 1 brought 2 O2 bottles and I began using O2. Number 1 called POC (Physician on Call) for assistance. I had sensation of spiraling downward; confusion; but remained conscious. Number 1 called Number 2. Number 2 & Number 4 completed entire service in both cabins. Number 1 again called POC and requested paramedics meet the flight. After O2 administration I regained mental clarity. Headache remained. Flight landed without further incident. Paramedics assisted me immediately. Passengers deplaned as I was examined I did not go to the hospital at that time as I only had headache remaining.,B737 Flight Attendant reported an odor in cabin after takeoff causing headache and sleepiness. Two of the four Flight Attendants were unable to perform their assigned duties during this flight.
1519373,201802,1201-1800,US,Air Carrier,Passenger,B737-800,Initial Climb,,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Troubleshooting; Physiological - Other; Distraction; Confusion,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Weight And Balance; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,Person Flight Attendant; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action,Human Factors; Procedure; Aircraft,Ambiguous,I was the Pilot Flying (PF); Captain was Pilot Monitoring (PM). Immediately after rotation; we both noticed an odor in the cockpit that smelled like a mixture of burning electrical and burning oil/hydraulic fluid. Initially; we thought it may have been residual [De-ice]/anti ice fluid; as the aircraft was towed in from another location; (we had not accepted our first aircraft due to maintenance issues). We determined after a brief discussion that the aircraft had not needed deicing; and the smell must be coming from elsewhere. It was not dissipating.After cleanup and reaching a safe altitude; we briefly discussed the smell; which was not dissipating. I felt slightly light headed; and I was getting a dry; tingling feeling in the back of my throat. I recognized these from my military altitude chamber hypoxia symptoms; and informed [the] Captain of my condition. As PF; I immediately donned my oxygen mask while [the] Captain got into the QRH; ran the checklists; and tried to coordinate with Flight attendants (FA's) to see if they could smell the odor as well. The FA's informed us that they could smell it; and it was getting more potent. [The] Captain Notified ATC of [our issue] and coordinated a return. After a few minutes; I was noticing the Captain having difficulty with basic FMS functions and told him he should immediately don his mask; as I feared he was also experiencing signs of hypoxia. After donning his mask; he was able to return to normal; and we worked in tandem to get the aircraft turned around and back to the departure airport.I flew and talked on the radio; and the Captain manipulated the FMS and checklists. We received a single frequency approach controller; and flew an ILS to the runway; with an overweight landing of approximately 163;000 lbs with a light touchdown and stopped on the runway while the emergency responding vehicles inspected our aircraft. Once given the all clear; we taxied back to the gate; remaining on oxygen the entire time until engines were shut down. We opened the flight deck windows for ventilation after we parked; and removed our masks. We were met at the aircraft by EMS; Fire; and Police first responders; who ran our vitals and transported us to the local Emergency Room. We were unable to pinpoint the cause of the fumes; but they persisted throughout the flight; approach; and landing. At this time; we do not know why this event occurred; where the fumes originated; or what could be done to minimize the risk. All hydraulic; oil; and bleed configurations and levels were normal.,B737 flight crew reported experiencing fumes in both the cockpit and cabin; which were nearly incapacitating; the flight safely returned to the departure airport.
1520165,201802,0601-1200,CA,Air Carrier,Passenger,A321,Climb,Cabin Crew Seat,Flight Attendant (On Duty),,,Aircraft Equipment Problem Less Severe; Flight Deck / Cabin / Aircraft Event Illness / Injury; Inflight Event / Encounter Weather / Turbulence,Person Flight Attendant,In-flight,General Physical Injury / Incapacitation,Aircraft,Aircraft,Severe turbulence for approximately 10 minutes on climb out. One Flight Attendant in the jump seat at 3R reported injuries as there is nowhere to hang on at that jump seat. No places to hold your hands grip bars or anything. I didn't feel that turbulence was safe to go through.,A321 Flight Attendant reported an injury resulted with the jumpseat at door 3R had nothing to hang on to during turbulence.
1520222,201802,1201-1800,US,Air Carrier,Passenger,B737-700,Cruise,Pressurization Control System,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Confusion; Distraction; Time Pressure; Troubleshooting,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Illness / Injury,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Overcame Equipment Problem; Flight Crew Landed in Emergency Condition; Flight Crew Diverted; General Physical Injury / Incapacitation; General Maintenance Action,Aircraft,Aircraft,While at cruise at FL380; the Pressurization Warning horn came on. The cabin altitude had climbed to 10;100 feet MSL. We initiated the QRC; and with the selector in manual; the cabin continued to slowly climb. We started an emergency descent and as we descended through about FL250; the Cabin Altitude started to descend. We had notified Center of the Emergency. We continued down to 10;000 feet MSL and diverted to an Airport which was about 200 NM away. We were VFR the whole time. Next; we realized we would be overweight or have to hold at the Airport. We talked to the Flight Attendants to brief and check on them and the Passengers. They said a few Passengers were complaining about their ears and some felt light headed. Since the cabin was at 5000 feet MSL; we chose not to deploy the masks and asked them to use the portable Oxygen if needed. After a Public Address from the flight deck and Flight Attendants; the Passenger seemed fine except for some isolated ear issues. We chose to land overweight after running the Performance data because of the Passenger discomfort reported. We continued onto the Airport at 10;000 feet MSL and did a visual RNAV landing to the Runway. It was on overweight at 133;900 pounds. Crash Fire Rescue and EMS met the aircraft.  One Passenger asked to see the EMS about her ears. The First Officer and Flight Attendants handled all issues very professionally.,Boeing 737 flight crew reported difficulty maintaining proper cabin pressure; they stabilized the cabin pressure by reverting to manual control; and a decision was made to divert due to passengers discomfort.
1521208,201802,0601-1200,US,Air Carrier,Passenger,B767 Undifferentiated or Other Model,Climb,Flap/Slat Indication,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP),Communication Breakdown,Aircraft Equipment Problem Critical,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action,Aircraft; Human Factors,Aircraft,On climb out; passing around 5000 ft; about the time the flaps indicated fully retracted; got red EICAS 'FLAPS' and red 'CONFIG' warn light and both Master 'WARN' lights and loud aural warning that we could not silence. Also amber 'TCAS' EICAS and 'SPD LMT' at bottom of both speed tapes on PFDs. Had an LCA (Line Check Airman) in the jump seat giving us a 'Line Check'. After consulting with Dispatch and [Maintenance Control] and three cockpit pilots; we all agreed we need to return. Cockpit communication was difficult when the aural warning was sounding. We [advised ATC] and landed. Returned to gate.,B767 flight crew reported multiple visual and aural configuration warnings after retracting the flaps during climb out.
1522121,201802,,US,Air Carrier,Passenger,B737-700,Initial Climb,Engine,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Troubleshooting,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport,Aircraft,Aircraft,After takeoff at approximately 6000 ft; the #2 engine began a series of compressor stalls. We notified Departure of our situation. We ran QRC and QRH checklists. We notified Ops and Company Dispatch of our situation and return to the airport. Flight Attendants were briefed and announcements were made to the Passengers of our intent to return. We made an overweight landing at flaps 15 at 131.0 lbs. Landing was smooth and uneventful. Aircraft was stopped on the runway for inspection by the crash; fire and rescue Crews. No damage was noted and we taxied to the gate. Passengers were offloaded and Maintenance was briefed.,B737 First Officer reported multiple compressor stalls on takeoff. The flight crew elected to return to the departure airport.
